"V1","V2"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Other (specify) - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Other (specify) - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Anglo-Saxon - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Anglo-Saxon - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Anglo-Saxon - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Anglo-Saxon - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Northern European - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Northern European - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Northern European - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Northern European - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Western European - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Western European - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Western European - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Western European - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - East European, Slavic - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - East European, Slavic - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - East European, Slavic - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - East European, Slavic - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Russian - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Russian - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Russian - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Russian - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Mediterranean - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Mediterranean - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Mediterranean - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Mediterranean - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan... - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan African - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan... - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan African - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan... - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan African - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan... - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan African - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - African, northeastern – Mediterranean and Saharan African (incl. Algerian,... - African, northeastern – Mediterranean and Saharan African (incl. Algerian, Egyptian, North Sudanese, Libyan, Morrocan and Tunisian) - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - African, northeastern – Mediterranean and Saharan African (incl. Algerian,... - African, northeastern – Mediterranean and Saharan African (incl. Algerian, Egyptian, North Sudanese, Libyan, Morrocan and Tunisian) - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - African, northeastern – Mediterranean and Saharan African (incl. Algerian,... - African, northeastern – Mediterranean and Saharan African (incl. Algerian, Egyptian, North Sudanese, Libyan, Morrocan and Tunisian) - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - African, northeastern – Mediterranean and Saharan African (incl. Algerian,... - African, northeastern – Mediterranean and Saharan African (incl. Algerian, Egyptian, North Sudanese, Libyan, Morrocan and Tunisian) - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indo... - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indonesian, and Philippine - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indo... - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indonesian, and Philippine - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indo... - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indonesian, and Philippine - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indo... - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indonesian, and Philippine - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - All Other Asian – North Chinese, Indian, Koran, Japanese, Turkish, Armenian - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - All Other Asian – North Chinese, Indian, Koran, Japanese, Turkish, Armenian - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - All Other Asian – North Chinese, Indian, Koran, Japanese, Turkish, Armenian - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - All Other Asian – North Chinese, Indian, Koran, Japanese, Turkish, Armenian - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Native American – North, Central and South America - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Native American – North, Central and South America - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Native American – North, Central and South America - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Native American – North, Central and South America - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Hispanic (not Puerto Rican or Mexican) - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Hispanic (not Puerto Rican or Mexican) - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Hispanic (not Puerto Rican or Mexican) - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Hispanic (not Puerto Rican or Mexican) - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Puerto Rican Hispanic - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Puerto Rican Hispanic - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Puerto Rican Hispanic - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Puerto Rican Hispanic - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Mexican Hispanic - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Mexican Hispanic - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Mexican Hispanic - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Mexican Hispanic - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Ashkenazi Jewish - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Ashkenazi Jewish - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Ashkenazi Jewish - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Ashkenazi Jewish - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Sephardic Jewish - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Sephardic Jewish - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Sephardic Jewish - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Sephardic Jewish - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Unknown - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Unknown - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Unknown - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Unknown - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Other (specify) - Yes","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Other (specify) - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Other (specify) - Country","ETHNIC BACKGROUND OF PARENTS

 

Father - What is your father’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies he is from (if known). - Other (specify) - Country"
